word,word_len,uni_prob,bi_prob,pos_uni_freq,pos_bi_freq
Y AW D,3,-13.969333390158207,-16.33025589823903,1.0557421359182095,1.0005093445127924
Y ER P,3,-11.986449252364665,-14.429956274703303,1.0785644744039748,1.001953678108594
JH AW T,3,-12.989176678352747,-13.107836515176393,1.0878912445897932,1.000664998051684
JH EY TH,3,-14.251410053196302,-16.33703211465851,1.0463003287619035,1.0005449653610639
Y AW Z,3,-15.03000163393519,-16.401256507339447,1.037993438664752,1.0003918034713788
P AH L,3,-8.5563395014561,-8.086672624542796,1.2271158990164102,1.0155026291302867
SH AY P,3,-12.006492159372094,-15.847723130460853,1.0808539235102173,1.002033818552303
G UW DH,3,-15.758487678694477,-16.697447737193606,1.0523140415664387,1.0005834338084285
Y AW JH,3,-15.314959127411669,-19.31297350275071,1.028786057087351,1.0000391803471378
N ER Z,3,-10.529354454436142,-13.057515682865802,1.0749102421671908,1.0007786236443446
DH AH D,3,-12.431301678026408,-13.989910099041385,1.121784861508182,1.0020744226989875
K EH L,3,-9.336045418882637,-11.041109656350264,1.2308770288860167,1.0099325868791418
M AE B,3,-10.976044858141162,-12.387888690834705,1.143436438813594,1.0104626282045737
DH AH V,3,-13.327214688727334,-15.289593702424924,1.1076799365385468,1.0023878654760905
B AY S,3,-10.944734521040814,-11.343331856106012,1.1656424299442083,1.0034664058018457
R AW JH,3,-13.228960185185674,-15.048101008989232,1.0795874697469545,1.0005827219086552
R IY Z,3,-10.509811134500207,-9.342171140962607,1.1218344133851543,1.0188497658604998
G IY JH,3,-12.312927345065534,-14.80618242631843,1.08018243212599,1.0007437146958464
T R EH F T,5,-15.778825288092207,-17.16844757755101,1.2494611514581588,1.0212663443022483
Y AE N,3,-11.315102344628215,-12.616881414354726,1.164625724638919,1.0125743997820515
G AW TH,3,-15.613157214189538,-14.912947492143791,1.0436166388227823,1.0006251058047728
S EH G,3,-10.719166273956935,-12.248554261984971,1.1972719446366458,1.0102642348196778
Z IH S,3,-9.968627668176389,-12.545203518316999,1.1857727239704678,1.0220542640399843
JH EY ZH,3,-15.507985454826326,-16.34039481078157,1.0405799980797736,1.000466604666788
K EH S,3,-9.326778048762721,-10.899908438248493,1.2452562162856171,1.0081694712579372
P EH L,3,-9.781801071018345,-9.310509882176259,1.218419234032134,1.012999714261989
F EH K,3,-10.546277060302039,-9.891947256433305,1.1755355952124455,1.0094948400127788
S EY D,3,-10.143234398789591,-11.424671443519115,1.16856670372437,1.0038621247219774
S EY P,3,-10.272796824907276,-13.415567584682242,1.1678614574758883,1.0029609767378063
M ER N,3,-9.541090222936898,-10.953744985923526,1.1770711490848602,1.0040184901606424
JH AY P,3,-12.482400218122654,-14.789554188800478,1.083764623242433,1.002033818552303
SH ER Z,3,-12.143237524213522,-14.050428157851417,1.064586960450266,1.0004680284663348
F IY N,3,-9.815554360915954,-11.090894057038362,1.1817319601910528,1.0041784150981736
S AH D,3,-8.417509705218498,-9.365890246964184,1.225793865272687,1.0139158638606136
EH S G ER,4,-14.210204706714617,-16.93470692450343,1.1114102692397134,1.0029411041095773
D ER S,3,-9.661965733948872,-10.233800033983144,1.1770138649144979,1.004886864895635
JH AY Z,3,-13.41350603578195,-11.681285816254137,1.066721172237457,1.0012110312624076
P EY B,3,-11.312091027166115,-13.812057527804132,1.1289060943618752,1.003775577180309
CH UW ZH,3,-16.52946003060135,-13.712429980398316,1.0322739577311701,1.0003123749274432
P EH S,3,-9.772533700898428,-9.169308664074487,1.2327984214317342,1.0112365986407847
V AY T,3,-11.221377840706856,-10.597696788072692,1.1130873291540768,1.0051572118768473
Z IY DH,3,-14.414680957236005,-18.292476051856127,1.0483245006273203,1.0005456772608372
R IH TH,3,-11.228545623640002,-11.89306302678005,1.1685409527569819,1.0134022479491813
D IH DH,3,-12.921751397207316,-13.089220361760042,1.1679579232811765,1.0287742176114631
B AE L,3,-10.362022347998574,-9.752164275585676,1.1839145606328945,1.0121708758240207
B IH M F,4,-14.049177367078512,-16.282850458212867,1.2213848737337645,1.012151910329697
K AH N IH F T,6,-17.35374816710391,-16.64746275471814,1.4321887288574957,1.051310214084521
S AH JH,3,-9.76313544247196,-10.216770331603055,1.1988377864418285,1.0132497979592696
TH AO SH,3,-14.227179945709036,-16.045197263627955,1.0490743629373462,1.0007013307997288
N AO D,3,-10.401632826763176,-14.199136495627702,1.0928530614069047,1.0019454912612014
DH IY SH,3,-14.223730391961926,-16.907758232153167,1.0536574800465714,1.000234370183054
W UW V,3,-13.457091452138808,-14.074923596955726,1.068071366923227,1.000898300385078
N AE L,3,-9.129448622450024,-12.025112309797244,1.1534880460988006,1.0085990312769073
TH AO CH,3,-15.19929627231384,-16.748261719186527,1.0486041987716919,1.0004662487169014
DH IY CH,3,-15.195846718566727,-16.284140729393368,1.0531873158809169,1.0006653540015706
S ER L,3,-9.120347236084022,-11.035414815961126,1.205984698860029,1.0057962255868063
Y ER TH,3,-14.068550875415461,-14.31809215675827,1.0487874105791894,1.0011308908186987
Y AW TH,3,-16.18099743932669,-17.505127941061776,1.0252598258449424,1.0004309838185166
D EH M,3,-10.266261155043246,-10.703307719859621,1.1842083316290923,1.011418618330895
CH AO Z,3,-14.048300466922338,-15.612208499225998,1.0615599080662035,1.0007038224489353
CH AE N,3,-11.512901125422577,-11.03516844724312,1.1644704873198675,1.0135061853160812
R IH ZH,3,-12.485121025270026,-13.399829492169914,1.162820622074852,1.0127753623949753
K AY DH,3,-14.15392493355663,-16.228468087753754,1.12640487922581,1.0006226141555663
