word,word_len,uni_prob,uni_prob_freq_weighted,uni_prob_smoothed,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
S EH SH,3,-10.51761313947297,nan,-10.517607487151642,nan,-11.668031963226927,nan,-11.679539935775058,nan,1.188105552660083,nan,1.1879427707101466,nan,1.0088216451014003,nan,1.0084149636365969,nan
S EH V,3,-10.53946107899884,nan,-10.539446751006814,nan,-10.658228965731183,nan,-10.67497520456221,nan,1.2029181051530204,nan,1.202733301720706,nan,1.0114558361375154,nan,1.0109045901926135,nan
S EH ZH,3,-13.096808879552707,nan,-13.092028107205666,nan,-13.349949929155759,nan,-13.44042828361914,nan,1.1808138064586629,nan,1.180661864980722,nan,1.008897998464766,nan,1.0084871267251772,nan
S IH JH,3,-10.263448838948575,nan,-10.2633004160416,nan,-10.207659798285473,nan,-10.23273602891079,nan,1.2181288545509077,nan,1.217921973057338,nan,1.0110628507028496,nan,1.010533746668126,nan
S IH M,3,-8.98440594898221,nan,-8.984711812041608,nan,-9.87193250659375,nan,-9.882956270150009,nan,1.2555038259183966,nan,1.2552413799113007,nan,1.0157204058681546,nan,1.0149356950715176,nan
S IH Z,3,-9.975451954594305,nan,-9.975461024310018,nan,-8.955963804195148,nan,-8.978464644174728,nan,1.2274821415632007,nan,1.22726135475215,nan,1.0136970417389648,nan,1.0130233732241425,nan
SH AE N,3,-10.549956841688253,nan,-10.549921597435944,nan,-11.802031586560343,nan,-11.797523665493177,nan,1.167710650449053,nan,1.1675761329051026,nan,1.0134240467385605,nan,1.0127597865722766,nan
SH EH N,3,-10.323623495005943,nan,-10.323634463952569,nan,-11.762163724807134,nan,-11.758309875956279,nan,1.1766429234675582,nan,1.1764952959338546,nan,1.013464174484215,nan,1.0127976121307556,nan
SH IH S,3,-9.791793551771033,nan,-9.791881803460964,nan,-11.063094755568905,nan,-11.076359886968278,nan,1.1947169239916577,nan,1.1945429616668577,nan,1.0230788450763724,nan,1.0218849292492926,nan
T AE L,3,-9.192983985725391,nan,-9.193241547946357,nan,-10.86166950628662,nan,-10.871882550893503,nan,1.17340661653224,nan,1.1732642347360025,nan,1.0098805750001925,nan,1.0094123802705643,nan
T EH M,3,-9.57755471409299,nan,-9.577778384650664,nan,-11.338139831412319,nan,-11.34954532613007,nan,1.1631741953459658,nan,1.1630471952717114,nan,1.010010356725256,nan,1.0095362142810043,nan
T EH T,3,-8.824793710849633,nan,-8.825110067646479,nan,-10.550937234187712,nan,-10.559837770090546,nan,1.1792465783344364,nan,1.179095683816674,nan,1.009819473316842,nan,1.0093558065595538,nan
T IH S,3,-8.231644945738854,nan,-8.232043495037423,nan,-9.048869308962976,nan,-9.058122598150554,nan,1.2248841430335378,nan,1.2246659356054084,nan,1.0242848903784492,nan,1.023025586553064,nan
TH AE N,3,-11.890553100132486,nan,-11.889410330637672,nan,-12.25177102002646,nan,-12.22104635381487,nan,1.1630029071528794,nan,1.162875294275491,nan,1.0126325795090727,nan,1.0120112302166766,nan
TH IH S,3,-11.132389810215267,nan,-11.131370536662693,nan,-11.420460868904005,nan,-11.460460161124141,nan,1.1900091806954842,nan,1.189842123037246,nan,1.0225512002567139,nan,1.0213858916788927,nan
V AE S,3,-10.76579442568115,nan,-10.765733884490189,nan,-11.329313674579712,nan,-11.344639981310413,nan,1.1627530017203962,nan,1.1626259586263978,nan,1.0077641425296433,nan,1.0074109979463977,nan
V EH L,3,-10.54864718460113,nan,-10.548631986741693,nan,-10.88615937058595,nan,-10.903414789932315,nan,1.157369019107841,nan,1.1572501496732948,nan,1.0104639560772795,nan,1.0099631955129549,nan
V EH R,3,-10.642436306977483,nan,-10.642411755270178,nan,-11.761976404057092,nan,-11.77899005836248,nan,1.1679439599339845,nan,1.167809368977225,nan,1.0158468681945583,nan,1.0150506932578585,nan
V EH S,3,-10.53946107899884,nan,-10.539446751006814,nan,-10.760263892544792,nan,-10.777925762072764,nan,1.1716852747389015,nan,1.1715451216551498,nan,1.0087078287198694,nan,1.0083034444756105,nan
V IH L,3,-9.822827596899192,nan,-9.822906303051017,nan,-10.798240221537185,nan,-10.814670425374825,nan,1.1855980169595728,nan,1.1854377155320936,nan,1.0132073117325209,nan,1.0125562706628222,nan
V IH N,3,-9.619651846829877,nan,-9.619748044117063,nan,-9.82412466842518,nan,-9.840952112486203,nan,1.2100692699182656,nan,1.2098725876397445,nan,1.0116802444652078,nan,1.0111130088912184,nan
V IH S,3,-9.813641491296902,nan,-9.813721067316138,nan,-10.16092511911857,nan,-10.178133149377038,nan,1.1999142725906333,nan,1.1997326875139487,nan,1.0247748462824178,nan,1.023488978582721,nan
W AE N,3,-10.99734966345384,nan,-10.99709282999081,nan,-10.819959869232699,nan,-10.819827260568754,nan,1.1793858538235635,nan,1.1792342127065392,nan,1.012858713003212,nan,1.0122251034611338,nan
W IH S,3,-10.239186373536619,nan,-10.239053036015832,nan,-9.209980364112138,nan,-9.236882155838073,nan,1.2063921273661682,nan,1.2062010414682942,nan,1.026546225319843,nan,1.0251643189976352,nan
Y AE N,3,-11.3101341845673,nan,-11.309651807197996,nan,-12.676124713364246,nan,-12.611480203371148,nan,1.1648483425249794,nan,1.1647180230182987,nan,1.0125948905933828,nan,1.0119755846759337,nan
Y IH S,3,-10.551970894650081,nan,-10.551612013223018,nan,-13.572035510332276,nan,-13.490184886264197,nan,1.1918546160675842,nan,1.1916848517800538,nan,1.0219858665213655,nan,1.02085120856775,nan
Z AE N,3,-10.733615244511526,nan,-10.733500818284996,nan,-13.36691174696896,nan,-13.347778793807095,nan,1.158973078891355,nan,1.1588513764085435,nan,1.0124441349306232,nan,1.0118330025129625,nan
Z IH S,3,-9.975451954594305,nan,-9.975461024310018,nan,-12.522356369096487,nan,-12.524672244135031,nan,1.1859793524339597,nan,1.1858182051702986,nan,1.022136622184125,nan,1.0209937907307214,nan
B AO CH,3,-13.47081854647399,nan,-13.469712638187069,nan,-15.09165332250706,nan,-14.742649177853203,nan,1.095235281842592,nan,1.095208758458195,nan,1.0017718668034181,nan,1.0017475035034944,nan
